solute_smiles,solvent_smiles,solute_name,solvent_name,temperature_K,logS,solubility_g_L
O=C1N(CC2=CC=CC=C2Cl)OCC1(C)C,O=C(OCCOC=1C=CC=CC1)C,Clomazone,TEX MEX,323.15,0.66,1100.0
O=C1N(CC2=CC=CC=C2Cl)OCC1(C)C,O=C1CCC2OC1OC2,Clomazone,Cireno (Cyrene) ,298.15,0.52,800.0
O=C1N(N)C(SC)=NN=C1C(C)(C)C,O=C(OCC)C(=O)C,Metribuzin,Ethyl pyruvate,323.15,0.51,700.0
OC(C1(CC1)Cl)(CC2=C(Cl)C=CC=C2)CN3N=CNC3=S,CN1C(CCC1)=O,Prothioconazole,NMP,323.15,0.5,1100.0
O=C1N(N)C(SC)=NN=C1C(C)(C)C,O=C1CCC2OC1OC2,Metribuzin,Cireno (Cyrene) ,323.15,0.45,600.0
O=C1N(N)C(SC)=NN=C1C(C)(C)C,N#CCC(=O)OCC,Metribuzin,Ethyl cyanoacetate ,323.15,0.45,600.0
O=C1N(CC2=CC=CC=C2Cl)OCC1(C)C,O=C(N(C)C)CCCCCCCCC,Clomazone,Surfom CE 8434,298.15,0.42,635.0
O=C1N(CC2=CC=CC=C2Cl)OCC1(C)C,O=C(OCC)C=1C=CC=CC1,Clomazone,Ethyl Benzoate,298.15,0.41,615.0
O=C1N(CC2=CC=CC=C2Cl)OCC1(C)C,CC(=O)OCC1=CC=CC=C1,Clomazone,Surfonic AG 1705,298.15,0.409207082,615.0
O=C1N(CC2=CC=CC=C2Cl)OCC1(C)C,O=C(OCCCC)CCC(=O)C,Clomazone,Butyl Levulinate,298.15,0.4,605.0
O=C1N(CC2=CC=CC=C2Cl)OCC1(C)C,OCC1OC(OC1)(C)CC,Clomazone,GBK,298.15,0.4,600.0
O=C1N(CC2=CC=CC=C2Cl)OCC1(C)C,CN1C(CCC1)=O,Clomazone,NMP,298.15,0.4,600.0
CNC(=O)C(=NOC)C1=CC=CC=C1OC2=CC=CC=C2,O=C(OCC)C(=O)C,Metominostrobin,Ethyl pyruvate,323.15,0.39,700.0
CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O,O=C(OCC)C(=O)C,Cyproconazole,Ethyl pyruvate,323.15,0.38,700.0
O=[N+](/N=C1NCCN\1CC2=CC=C(Cl)N=C2)[O-],CN1C(CCC1)=O,Imidacloprid,NMP,298.15,0.37,600.0
O=[N+](/N=C1NCCN\1CC2=CC=C(Cl)N=C2)[O-],CN1C(CCC1)=O,Imidacloprid,NMP,323.15,0.37,600.0
O=C(OC)/C(C1=CC=CC=C1OC2=NC=NC(OC3=CC=CC=C3C#N)=C2)=C/OC,CN1C(CCC1)=O,Azoxystrobin ,NMP,323.15,0.35,900.0
OC(C(C)(C)C)(CCC1=CC=C(Cl)C=C1)CN2C=NC=N2,CN1C(CCC1)=O,Tebuconazole,NMP,298.15,0.324644741,650.0
OC(C(C)(C)C)(CCC1=CC=C(Cl)C=C1)CN2C=NC=N2,O=C(OCC)C(=O)C,Tebuconazole,Ethyl pyruvate,298.15,0.289882635,600.0
OC(C(C)(C)C)(CCC1=CC=C(Cl)C=C1)CN2C=NC=N2,CCCCCCc1ccccc1,Tebuconazole,Solvesso 150,323.15,0.289882635,600.0
O=C(OC)/C(C1=CC=CC=C1OC2=NC=NC(OC3=CC=CC=C3C#N)=C2)=C/OC,O=C1CCC2OC1OC2,Azoxystrobin ,Cireno (Cyrene) ,323.15,0.27,750.0
OC(C1(CC1)Cl)(CC2=C(Cl)C=CC=C2)CN3N=CNC3=S,OCC1OC(OC1)(C)CC,Prothioconazole,GBK,298.15,0.24,600.0
C/C(=N\OCC1=CC=CC=C1/C(=N/OC)/C(=O)OC)/C2=CC(=CC=C2)C(F)(F)F,O=C(OCC)C(=O)C,Trifloxystrobin,Ethyl pyruvate,323.15,0.234012307,700.0
OC(C(C)(C)C)(CCC1=CC=C(Cl)C=C1)CN2C=NC=N2,O=C(OCC)CC(=O)C,Tebuconazole,ethyl acetoacetate,323.15,0.210701389,500.0
O=C(OC)/C(C1=CC=CC=C1OC2=NC=NC(OC3=CC=CC=C3C#N)=C2)=C/OC,CN1C(CCC1)=O,Azoxystrobin ,NMP,298.15,0.17,590.0
OC(C(C)(C)C)(CCC1=CC=C(Cl)C=C1)CN2C=NC=N2,O=C(OCC)C(=O)C,Tebuconazole,Ethyl pyruvate,323.15,0.164943898,450.0
CNC(=O)C(=NOC)C1=CC=CC=C1OC2=CC=CC=C2,N#CCC(=O)OCC,Metominostrobin,Ethyl cyanoacetate ,323.15,0.148283132,400.0
O=C1N(N)C(SC)=NN=C1C(C)(C)C,O=C(OCC)C(=O)C,Metribuzin,Ethyl pyruvate,298.15,0.15,300.0
CCNC1=NC(NC(C)C)=NC(Cl)=N1,CN1C(CCC1)=O,Atrazine,NMP,323.15,0.14327111,300.0
CO/N=C(\C1=CC=CC=C1OC2=C(C(=NC=N2)OC3=CC=CC=C3Cl)F)/C4=NOCCO4,O=C(OCC)C(=O)C,Fluoxastrobin,Ethyl pyruvate,323.15,0.12,600.0
C1=CC=C(C(=C1)[C@@H]2[C@@](O2)(CN3C=NC=N3)C4=CC=C(C=C4)F)Cl,O=C(OCC)C(=O)C,Epoxiconazole,Ethyl pyruvate,323.15,0.08,400.0
CO/N=C(\C1=CC=CC=C1OC2=C(C(=NC=N2)OC3=CC=CC=C3Cl)F)/C4=NOCCO4,N#CCC(=O)OCC,Fluoxastrobin,Ethyl cyanoacetate ,323.15,0.04,500.0
CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O,N#CCC(=O)OCC,Cyproconazole,Ethyl cyanoacetate ,323.15,0.01,300.0
CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O,O=C(OCC)C(=O)C,Cyproconazole,Ethyl pyruvate,298.15,0.01,300.0
OC(C1(CC1)Cl)(CC2=C(Cl)C=CC=C2)CN3N=CNC3=S,O=C(OCC)C(=O)C,Prothioconazole,Ethyl pyruvate,323.15,0.01,350.0
C/C(=N\OCC1=CC=CC=C1/C(=N/OC)/C(=O)OC)/C2=CC(=CC=C2)C(F)(F)F,N#CCC(=O)OCC,Trifloxystrobin,Ethyl cyanoacetate ,323.15,-0.009025742,400.0
O=[N+](/N=C1NCCN\1CC2=CC=C(Cl)N=C2)[O-],O=C1CCC2OC1OC2,Imidacloprid,Cireno (Cyrene) ,323.15,-0.01,250.0
OC(C(C)(C)C)(CCC1=CC=C(Cl)C=C1)CN2C=NC=N2,O=C1CCC2OC1OC2,Tebuconazole,Cireno (Cyrene) ,323.15,-0.011147361,300.0
OC(C(C)(C)C)(CCC1=CC=C(Cl)C=C1)CN2C=NC=N2,N#CCC(=O)OCC,Tebuconazole,Ethyl cyanoacetate ,323.15,-0.011147361,300.0
OC(C(C)(C)C)(CCC1=CC=C(Cl)C=C1)CN2C=NC=N2,CC(=O)OCC1=CC=CC=C1,Tebuconazole,Surfonic AG 1705,323.15,-0.011147361,300.0
OC(C(C)(C)C)(CCC1=CC=C(Cl)C=C1)CN2C=NC=N2,O=C(OCCOC=1C=CC=CC1)C,Tebuconazole,TEX MEX,323.15,-0.011147361,300.0
